date,support_cost,support_cost_lag_1,support_cost_lag_2,support_cost_ma,support_cost_trend,csat_score,csat_score_lag_1,csat_score_lag_2,csat_score_ma,csat_score_trend,first_contact_resolution_rate,first_contact_resolution_rate_lag_1,first_contact_resolution_rate_lag_2,first_contact_resolution_rate_ma,first_contact_resolution_rate_trend,department
2026-02-28,1297971.8663975138,2013899.5302757688,1708533.49,1655935.6983366413,305366.04027576884,127.8764342733494,142.70150795696532,142.46,135.28897111515735,0.24150795696530736,2125.4286940732236,2271.0701376789934,2336.74232808071,2198.2494158761083,-65.67219040171676,Customer Support
2026-03-31,1624522.0410556525,1297971.8663975138,2013899.5302757688,1461246.9537265832,-715927.663878255,142.23503750658404,127.8764342733494,142.70150795696532,135.0557358899667,-14.825073683615912,2332.5905408614262,2125.4286940732236,2271.0701376789934,2229.009617467325,-145.64144360576984,Customer Support
2026-04-30,1796978.2814604908,1624522.0410556525,1297971.8663975138,1710750.1612580717,326550.17465813877,137.08534775096766,142.23503750658404,127.8764342733494,139.66019262877586,14.358603233234632,2229.1565709733445,2332.5905408614262,2125.4286940732236,2280.8735559173856,207.16184678820264,Customer Support
2026-05-31,1872104.3115066546,1796978.2814604908,1624522.0410556525,1834541.2964835726,172456.24040483823,142.21709482304436,137.08534775096766,142.23503750658404,139.65122128700602,-5.149689755616379,2306.2962836229326,2229.1565709733445,2332.5905408614262,2267.7264272981383,-103.43396988808172,Customer Support
2026-06-30,1861674.5206830513,1872104.3115066546,1796978.2814604908,1866889.416094853,75126.03004616383,137.83276835493825,142.21709482304436,137.08534775096766,140.0249315889913,5.131747072076706,2256.377061660959,2306.2962836229326,2229.1565709733445,2281.336672641946,77.13971264958809,Customer Support
2026-07-31,1826828.6965732903,1861674.5206830513,1872104.3115066546,1844251.6086281708,-10429.790823603282,142.58001357373197,137.83276835493825,142.21709482304436,140.20639096433513,-4.38432646810611,2340.3057694877975,2256.377061660959,2306.2962836229326,2298.3414155743785,-49.91922196197356,Customer Support
2026-08-31,1457090.2487587966,1826828.6965732903,1861674.5206830513,1641959.4726660433,-34845.824109761044,141.05469046709342,142.58001357373197,137.83276835493825,141.8173520204127,4.747245218793722,2286.4564651287433,2340.3057694877975,2256.377061660959,2313.3811173082704,83.92870782683849,Customer Support
2026-09-30,1629524.1938224498,1457090.2487587966,1826828.6965732903,1543307.2212906233,-369738.4478144937,136.7742741353011,141.05469046709342,142.58001357373197,138.91448230119727,-1.5253231066385524,2305.737156739592,2286.4564651287433,2340.3057694877975,2296.0968109341675,-53.84930435905426,Customer Support
2026-10-31,2082253.179094942,1629524.1938224498,1457090.2487587966,1855888.686458696,172433.94506365317,143.83977326919296,136.7742741353011,141.05469046709342,140.30702370224702,-4.28041633179231,2318.806830921162,2305.737156739592,2286.4564651287433,2312.271993830377,19.280691610848862,Customer Support
2026-11-30,1513401.856018915,2082253.179094942,1629524.1938224498,1797827.5175569286,452728.9852724923,138.512502255554,143.83977326919296,136.7742741353011,141.1761377623735,7.065499133891848,2242.42365551299,2318.806830921162,2305.737156739592,2280.615243217076,13.069674181570008,Customer Support
2026-12-31,1630672.9442927008,1513401.856018915,2082253.179094942,1572037.4001558078,-568851.323076027,140.55039969689568,138.512502255554,143.83977326919296,139.53145097622485,-5.327271013638949,2347.9699852250656,2242.42365551299,2318.806830921162,2295.1968203690276,-76.38317540817206,Customer Support
2027-01-31,1886589.800053898,1630672.9442927008,1513401.856018915,1758631.3721732995,117271.08827378578,140.66640745238098,140.55039969689568,138.512502255554,140.60840357463832,2.03789744134167,2333.300606779432,2347.9699852250656,2242.42365551299,2340.6352960022487,105.54632971207548,Customer Support
2027-02-28,1629593.8646249578,1886589.800053898,1630672.9442927008,1758091.832339428,255916.85576119716,128.671316282042,140.66640745238098,140.55039969689568,134.6688618672115,0.11600775548529896,2123.516987054124,2333.300606779432,2347.9699852250656,2228.408796916778,-14.669378445633356,Customer Support
2027-03-31,1598127.3364383618,1629593.8646249578,1886589.800053898,1613860.6005316598,-256995.93542894023,142.18810210449027,128.671316282042,140.66640745238098,135.42970919326615,-11.99509117033898,2331.030135969658,2123.516987054124,2333.300606779432,2227.273561511891,-209.7836197253082,Customer Support
2027-04-30,1849662.0438727052,1598127.3364383618,1629593.8646249578,1723894.6901555336,-31466.528186596,139.5959654256775,142.18810210449027,128.671316282042,140.89203376508388,13.51678582244827,2257.7060209681117,2331.030135969658,2123.516987054124,2294.368078468885,207.5131489155342,Customer Support
2027-05-31,1741908.5462791736,1849662.0438727052,1598127.3364383618,1795785.2950759395,251534.7074343434,140.7194309165374,139.5959654256775,142.18810210449027,140.15769817110743,-2.5921366788127784,2316.9402451783626,2257.7060209681117,2331.030135969658,2287.323133073237,-73.32411500154649,Customer Support
2027-06-30,1651525.6694809757,1741908.5462791736,1849662.0438727052,1696717.1078800745,-107753.49759353162,137.96283693488454,140.7194309165374,139.5959654256775,139.34113392571095,1.1234654908598998,2235.7935063022164,2316.9402451783626,2257.7060209681117,2276.3668757402893,59.234224210250886,Customer Support
2027-07-31,2040394.223563149,1651525.6694809757,1741908.5462791736,1845959.9465220624,-90382.87679819786,142.6084551261464,137.96283693488454,140.7194309165374,140.28564603051547,-2.7565939816528555,2349.6922243446866,2235.7935063022164,2316.9402451783626,2292.7428653234515,-81.14673887614617,Customer Support
2027-08-31,1902072.2393410685,2040394.223563149,1651525.6694809757,1971233.2314521088,388868.5540821734,144.9896021900661,142.6084551261464,137.96283693488454,143.79902865810624,4.64561819126186,2312.1213150106773,2349.6922243446866,2235.7935063022164,2330.906769677682,113.89871804247014,Customer Support
2027-09-30,1563372.8732962501,1902072.2393410685,2040394.223563149,1732722.5563186593,-138321.98422208056,139.5060429673907,144.9896021900661,142.6084551261464,142.2478225787284,2.3811470639197125,2276.2021077586905,2312.1213150106773,2349.6922243446866,2294.161711384684,-37.57090933400923,Customer Support
2027-10-31,1703052.6847055373,1563372.8732962501,1902072.2393410685,1633212.7790008937,-338699.3660448184,142.7453793150994,139.5060429673907,144.9896021900661,141.12571114124506,-5.48355922267541,2286.708442335409,2276.2021077586905,2312.1213150106773,2281.45527504705,-35.91920725198679,Customer Support
2027-11-30,1594316.8799702025,1703052.6847055373,1563372.8732962501,1648684.78233787,139679.81140928715,135.0379384530596,142.7453793150994,139.5060429673907,138.8916588840795,3.2393363477087007,2239.3253697582595,2286.708442335409,2276.2021077586905,2263.0169060468343,10.506334576718473,Customer Support
2027-12-31,1754365.2698207472,1594316.8799702025,1703052.6847055373,1674341.0748954748,-108735.80473533482,142.4182073439481,135.0379384530596,142.7453793150994,138.72807289850385,-7.707440862039789,2350.6355112480287,2239.3253697582595,2286.708442335409,2294.980440503144,-47.383072577149505,Customer Support
2028-01-31,1753541.7117916858,1754365.2698207472,1594316.8799702025,1753953.4908062164,160048.38985054474,143.70335783970756,142.4182073439481,135.0379384530596,143.06078259182783,7.3802688908884875,2326.469979315522,2350.6355112480287,2239.3253697582595,2338.552745281775,111.3101414897692,Customer Support
2028-02-29,1479262.3889932418,1753541.7117916858,1754365.2698207472,1616402.0503924638,-823.5580290614162,134.81993076670875,143.70335783970756,142.4182073439481,139.26164430320816,1.285150495759467,2216.3078830186587,2326.469979315522,2350.6355112480287,2271.38893116709,-24.165531932506838,Customer Support
2028-03-31,1475435.9379582843,1479262.3889932418,1753541.7117916858,1477349.163475763,-274279.32279844396,142.02797350387402,134.81993076670875,143.70335783970756,138.4239521352914,-8.883427072998813,2324.770541630654,2216.3078830186587,2326.469979315522,2270.5392123246565,-110.16209629686318,Customer Support
2028-04-30,1788416.6217933078,1475435.9379582843,1479262.3889932418,1631926.279875796,-3826.451034957543,138.16636916306777,142.02797350387402,134.81993076670875,140.0971713334709,7.208042737165272,2201.1131618618842,2324.770541630654,2216.3078830186587,2262.941851746269,108.46265861199527,Customer Support
2028-05-31,1733101.8714902236,1788416.6217933078,1475435.9379582843,1760759.2466417658,312980.68383502355,140.83537948222644,138.16636916306777,142.02797350387402,139.50087432264712,-3.8616043408062524,2318.0103322718896,2201.1131618618842,2324.770541630654,2259.5617470668867,-123.65737976876972,Customer Support
2028-06-30,1790001.7365992954,1733101.8714902236,1788416.6217933078,1761551.8040447594,-55314.75030308426,137.91753004315945,140.83537948222644,138.16636916306777,139.37645476269296,2.669010319158673,2266.2615788065905,2318.0103322718896,2201.1131618618842,2292.13595553924,116.8971704100054,Customer Support
2028-07-31,1917037.6961029142,1790001.7365992954,1733101.8714902236,1853519.716351105,56899.865109071834,141.81211208562834,137.91753004315945,140.83537948222644,139.86482106439388,-2.9178494390669982,2283.851292286885,2266.2615788065905,2318.0103322718896,2275.0564355467377,-51.74875346529916,Customer Support
2028-08-31,1701666.5906284258,1917037.6961029142,1790001.7365992954,1809352.14336567,127035.95950361877,142.25079210699144,141.81211208562834,137.91753004315945,142.0314520963099,3.8945820424688975,2271.845936735222,2283.851292286885,2266.2615788065905,2277.8486145110537,17.58971348029445,Customer Support
2028-09-30,1505960.4313028539,1701666.5906284258,1917037.6961029142,1603813.5109656397,-215371.10547448834,136.28720091831724,142.25079210699144,141.81211208562834,139.26899651265433,0.4386800213630977,2246.6225322670366,2271.845936735222,2283.851292286885,2259.2342345011293,-12.005355551662888,Customer Support
2028-10-31,1925854.3424884093,1505960.4313028539,1701666.5906284258,1715907.3868956314,-195706.15932557196,142.0998603411902,136.28720091831724,142.25079210699144,139.19353062975372,-5.963591188674201,2323.6514572152455,2246.6225322670366,2271.845936735222,2285.1369947411413,-25.223404468185436,Customer Support
2028-11-30,1926593.6432518228,1925854.3424884093,1505960.4313028539,1926223.9928701161,419893.9111855554,136.71102339250965,142.0998603411902,136.28720091831724,139.4054418668499,5.812659422872969,2249.5526661596027,2323.6514572152455,2246.6225322670366,2286.602061687424,77.0289249482089,Customer Support
2028-12-31,1784746.780411157,1926593.6432518228,1925854.3424884093,1855670.21183149,739.3007634135429,137.11149002447573,136.71102339250965,142.0998603411902,136.9112567084927,-5.388836948680563,2257.225393854593,2249.5526661596027,2323.6514572152455,2253.389030007098,-74.09879105564278,Customer Support
