date,revenue_from_release,revenue_from_release_lag_1,revenue_from_release_lag_2,revenue_from_release_ma,revenue_from_release_trend,feature_adoption_rate,feature_adoption_rate_lag_1,feature_adoption_rate_lag_2,feature_adoption_rate_ma,feature_adoption_rate_trend,department
2026-08-31,205714339.32850552,190504320.6402932,193549122.81628788,198513434.8500955,-3044802.1759946644,1190.639983654227,1245.2643909264073,1141.7605201783822,1172.7002146312486,103.50387074802507,Product
2026-09-30,209255130.50962472,205714339.32850552,190504320.6402932,199151720.06773633,15210018.688212305,1232.8718311944522,1190.639983654227,1245.2643909264073,1195.7397137889182,-54.62440727218018,Product
2026-10-31,222442867.45118514,209255130.50962472,205714339.32850552,204293156.14917928,3540791.1811192036,1207.5502862375304,1232.8718311944522,1190.639983654227,1203.6174024381999,42.23184754022509,Product
2026-11-30,216808936.72864163,222442867.45118514,209255130.50962472,208945118.93165004,13187736.941560417,1225.3029577014506,1207.5502862375304,1232.8718311944522,1220.3258899428135,-25.321544956921798,Product
2026-12-31,199060050.77648833,216808936.72864163,222442867.45118514,210656264.95888907,-5633930.722543508,1182.122204162434,1225.3029577014506,1207.5502862375304,1207.6974525900187,17.75267146392025,Product
2027-01-31,225990684.2123281,199060050.77648833,216808936.72864163,214711533.93565357,-17748885.952153295,1297.4010665969838,1182.122204162434,1225.3029577014506,1229.0496691785702,-43.18075353901668,Product
2027-02-28,189056997.28575656,225990684.2123281,199060050.77648833,210671907.29087996,26930633.435839772,1100.7035667911628,1297.4010665969838,1182.122204162434,1202.6160162979122,115.27886243454986,Product
2027-03-31,211436333.51948023,189056997.28575656,225990684.2123281,208470600.50453895,-36933686.92657155,1091.9057852431717,1100.7035667911628,1297.4010665969838,1179.4871160990406,-196.69749980582105,Product
2027-04-30,226278693.88785532,211436333.51948023,189056997.28575656,210364551.9363817,22379336.23372367,1148.3826412489425,1091.9057852431717,1100.7035667911628,1164.103052808539,-8.797781547991008,Product
2027-05-31,224365723.78404456,226278693.88785532,211436333.51948023,215425686.53789297,14842360.368375093,1200.1036775457746,1148.3826412489425,1091.9057852431717,1167.6993474852072,56.47685600577074,Product
2027-06-30,212974468.97484767,224365723.78404456,226278693.88785532,212822443.4903969,-1912970.1038107574,1075.84678247855,1200.1036775457746,1148.3826412489425,1123.3884906615203,51.72103629683215,Product
2027-07-31,218380329.256363,212974468.97484767,224365723.78404456,218687109.88451815,-11391254.80919689,1126.2401501161837,1075.84678247855,1200.1036775457746,1128.4958073265248,-124.2568950672246,Product
2027-08-31,217298941.8041175,218380329.256363,212974468.97484767,219859631.54144564,5405860.28151533,1129.7618626144224,1126.2401501161837,1075.84678247855,1136.0670228007746,50.39336763763367,Product
2027-09-30,232487183.2904502,217298941.8041175,218380329.256363,221101329.4219646,-1081387.4522455037,1084.0815414425035,1129.7618626144224,1126.2401501161837,1123.2068028394867,3.521712498238685,Product
2027-10-31,215776833.60916257,232487183.2904502,217298941.8041175,219383551.38698816,15188241.486332685,1095.1455019873986,1084.0815414425035,1129.7618626144224,1102.2151677278116,-45.68032117191888,Product
2027-11-30,223156888.87646362,215776833.60916257,232487183.2904502,221420035.3673114,-16710349.681287616,1233.4684060510592,1095.1455019873986,1084.0815414425035,1133.7394924423133,11.063960544895053,Product
2027-12-31,197177221.0401776,223156888.87646362,215776833.60916257,217179413.7240743,7380055.267301053,1149.6368735549797,1233.4684060510592,1095.1455019873986,1138.4188371300727,138.32290406366064,Product
2028-01-31,232289715.23194745,197177221.0401776,223156888.87646362,220177568.4096403,-25979667.83628601,1225.1638135206213,1149.6368735549797,1233.4684060510592,1157.4992273113126,-83.83153249607949,Product
2028-02-29,235889043.8508022,232289715.23194745,197177221.0401776,220857940.5217107,35112494.19176984,1209.8949586674735,1225.1638135206213,1149.6368735549797,1182.6619107563065,75.52693996564153,Product
2028-03-31,206523750.73376697,235889043.8508022,232289715.23194745,219007323.94663158,3599328.618854761,1122.7902239237155,1209.8949586674735,1225.1638135206213,1188.19085514357,-15.268854853147786,Product
2028-04-30,200142612.0180925,206523750.73376697,235889043.8508022,214404468.57495734,-29365293.11703524,1203.5171901058793,1122.7902239237155,1209.8949586674735,1182.200611954534,-87.10473474375794,Product
2028-05-31,197902242.87067068,200142612.0180925,206523750.73376697,214549472.94105595,-6381138.71567446,1234.748304314605,1203.5171901058793,1122.7902239237155,1199.2228981064588,80.72696618216378,Product
2028-06-30,193442156.78177404,197902242.87067068,200142612.0180925,206779961.2510213,-2240369.147421837,1157.2925705699654,1234.748304314605,1203.5171901058793,1185.6486495163276,31.231114208725785,Product
2028-07-31,208915560.6226068,193442156.78177404,197902242.87067068,201385264.6053822,-4460086.088896632,1280.6861480051625,1157.2925705699654,1234.748304314605,1199.8068873838656,-77.4557337446397,Product
2028-08-31,216132582.45749342,208915560.6226068,193442156.78177404,203307030.95012748,15473403.84083277,1128.2273944444146,1280.6861480051625,1157.2925705699654,1200.8943214880053,123.39357743519713,Product
2028-09-30,216179559.1164662,216132582.45749342,208915560.6226068,206514420.36980224,7217021.8348866105,1125.109207170906,1128.2273944444146,1280.6861480051625,1185.2127249010107,-152.45875356074794,Product
2028-10-31,175956071.35242835,216179559.1164662,216132582.45749342,202125186.06615376,46976.658972769976,1185.1531307554628,1125.109207170906,1128.2273944444146,1175.2936901891821,-3.1181872735085108,Product
2028-11-30,211936274.01108864,175956071.35242835,216179559.1164662,205824009.51201668,-40223487.76403785,1133.0901544350825,1185.1531307554628,1125.109207170906,1170.4532069622057,60.04392358455675,Product
2028-12-31,179863100.88066193,211936274.01108864,175956071.35242835,200013517.56362772,35980202.65866029,1144.1415519178179,1133.0901544350825,1185.1531307554628,1143.1442877447369,-52.06297632038036,Product
