date,revenue_attributed,revenue_attributed_lag_1,revenue_attributed_lag_2,revenue_attributed_ma,revenue_attributed_trend,conversion_rate,conversion_rate_lag_1,conversion_rate_lag_2,conversion_rate_ma,conversion_rate_trend,department
2027-07-31,180949966.0690545,142748978.80115166,169920474.98199427,161012825.4758874,-27171496.18084261,591.9140169296622,552.076496274005,641.3030822910309,596.6281468923964,-89.22658601702597,Marketing
2027-08-31,193442262.83433977,180949966.0690545,142748978.80115166,171765420.67163506,38200987.26790285,542.1706299222323,591.9140169296622,552.076496274005,581.8660563542326,39.83752065565727,Marketing
2027-09-30,154744995.10818383,193442262.83433977,180949966.0690545,167971550.70318246,12492296.765285254,575.4076547745773,542.1706299222323,591.9140169296622,565.3921994751192,-49.74338700742999,Marketing
2027-10-31,146776912.13639385,154744995.10818383,193442262.83433977,168978534.036993,-38697267.72615594,545.0681125885447,575.4076547745773,542.1706299222323,563.6401035537541,33.23702485234503,Marketing
2027-11-30,184943055.86625895,146776912.13639385,154744995.10818383,169976806.4862941,-7968082.971789986,578.2856075061367,545.0681125885447,575.4076547745773,560.2330011978727,-30.33954218603253,Marketing
2027-12-31,155695585.3100216,184943055.86625895,146776912.13639385,160540137.10521457,38166143.729865104,580.5202890985811,578.2856075061367,545.0681125885447,569.8204159919599,33.21749491759192,Marketing
2028-01-31,165842459.96600142,155695585.3100216,184943055.86625895,163314503.31966895,-29247470.55623734,633.9934413313532,580.5202890985811,578.2856075061367,584.466862631154,2.234681592444417,Marketing
2028-02-29,159344083.18230534,165842459.96600142,155695585.3100216,166456296.08114684,10146874.655979812,595.762928758279,633.9934413313532,580.5202890985811,597.1405666735875,53.47315223277212,Marketing
2028-03-31,177767742.92934203,159344083.18230534,165842459.96600142,164662467.8469176,-6498376.783696085,612.3001376418624,595.762928758279,633.9934413313532,605.6441992075189,-38.23051257307418,Marketing
2028-04-30,156950944.58399105,177767742.92934203,159344083.18230534,164976307.66540995,18423659.747036695,565.9809597578839,612.3001376418624,595.762928758279,602.0093668723446,16.53720888358339,Marketing
2028-05-31,138616668.4518272,156950944.58399105,177767742.92934203,158169859.7868664,-20816798.34535098,620.2120950878242,565.9809597578839,612.3001376418624,598.5640303114624,-46.31917788397857,Marketing
2028-06-30,163005121.51992324,138616668.4518272,156950944.58399105,159085119.3712709,-18334276.132163852,543.921264743242,620.2120950878242,565.9809597578839,585.6036143077031,54.231135329940344,Marketing
2028-07-31,176365381.37938303,163005121.51992324,138616668.4518272,158734528.98378113,24388453.06809604,609.2885055192037,543.921264743242,620.2120950878242,584.8507062770384,-76.29083034458222,Marketing
2028-08-31,153601706.08226782,176365381.37938303,163005121.51992324,157897219.35835034,13360259.859459788,551.190574284874,609.2885055192037,543.921264743242,581.153109908786,65.3672407759617,Marketing
2028-09-30,157496559.78549153,153601706.08226782,176365381.37938303,162617192.1917664,-22763675.297115207,611.4744335434092,551.190574284874,609.2885055192037,578.9686945226822,-58.097931234329735,Marketing
2028-10-31,184739858.72777605,157496559.78549153,153601706.08226782,168050876.4937296,3894853.7032237053,635.3976333805689,611.4744335434092,551.190574284874,601.837786682014,60.283859258535244,Marketing
2028-11-30,151241376.859641,184739858.72777605,157496559.78549153,161769875.3637941,27243298.942284524,572.7780023131044,635.3976333805689,611.4744335434092,592.7101608804891,23.9231998371597,Marketing
2028-12-31,187936526.13715222,151241376.859641,184739858.72777605,170353580.3775152,-33498481.868135065,603.2539139002113,572.7780023131044,635.3976333805689,605.7259957843235,-62.619631067464525,Marketing
