date,project_id,cloud_cost,orders_processed,dev_cost,budget,it_expense,total_revenue,uptime_minutes,scheduled_minutes,incident_count,downtime_minutes,internal_nps
2025-01-30,PRJ0129,0.07,2.01,1200217.35,1811312.58,146648.36,2975579.79,43084.67,43200.0,4.16,27.44,46.85
2025-01-31,PRJ0061,0.05,16.29,2037330.92,1526189.96,293186.23,963050.66,43196.02,43200.0,2.53,24.46,45.05
2025-02-01,PRJ0110,0.07,11.9,782519.93,1293068.91,181298.98,2203190.84,43176.96,43200.0,2.98,50.87,40.95
2025-02-02,PRJ0105,0.04,7.8,586583.64,1686230.69,270192.21,2532664.35,43025.83,43200.0,3.55,19.81,53.0
2025-02-03,PRJ0056,0.05,13.5,945216.38,1953273.66,287755.0,2400143.48,43147.72,43200.0,1.35,31.37,68.34
2025-02-04,PRJ0104,0.04,22.42,1223272.39,1564961.61,257555.42,3180963.99,43146.67,43200.0,3.02,31.47,50.94
2025-02-05,PRJ0151,0.06,11.05,1347571.82,1309573.43,174987.75,2055778.5,43034.49,43200.0,2.19,21.97,60.78
2025-02-06,PRJ0082,0.12,11.41,1139101.24,692774.35,223222.89,4299109.37,43147.1,43200.0,3.43,7.02,33.34
2025-02-07,PRJ0082,0.01,7.56,1394342.81,807870.05,198513.43,3005339.32,43188.27,43200.0,0.11,36.14,51.14
2025-02-08,PRJ0093,0.07,5.43,704455.81,1162357.09,147728.62,2994364.91,43035.96,43200.0,2.38,29.54,36.71
2025-02-09,PRJ0082,0.01,14.58,1864010.07,1020407.44,218639.83,2626610.44,43047.7,43200.0,1.81,39.18,32.35
2025-02-10,PRJ0171,0.04,5.4,1207541.59,1217522.12,131829.94,3184237.37,43158.48,43200.0,2.97,21.42,40.83
2025-02-11,PRJ0186,0.08,10.45,1723559.03,1331171.06,268490.01,3957513.71,43115.77,43200.0,3.01,51.56,63.03
2025-02-12,PRJ0163,0.06,7.46,1390328.9,1551844.82,173082.42,2004169.28,43131.8,43200.0,1.7,15.53,60.25
2025-02-13,PRJ0161,0.03,12.67,1439385.15,1271856.38,211525.99,2245434.46,43119.72,43200.0,1.69,59.99,52.12
2025-02-14,PRJ0068,0.04,11.87,1488005.24,1531696.23,216268.27,2654508.43,43122.59,43200.0,2.36,0.57,31.71
2025-02-15,PRJ0171,0.07,15.71,1435494.02,1334821.17,184960.75,1451557.44,43024.29,43200.0,1.48,38.06,47.07
2025-02-16,PRJ0069,0.04,7.28,1519391.63,383191.81,233787.66,2059428.49,43160.18,43200.0,3.43,38.75,52.8
2025-02-17,PRJ0037,0.06,8.59,1814702.49,866545.42,172488.46,2455397.11,43167.18,43200.0,2.07,16.92,51.35
2025-02-18,PRJ0040,0.06,4.73,1327430.0,1237527.33,250221.35,4014410.36,43087.09,43200.0,-0.76,37.88,28.13
2025-02-19,PRJ0126,0.04,7.64,1547906.56,740423.2,122190.43,3308175.63,43097.74,43200.0,2.07,52.57,39.09
2025-02-20,PRJ0052,0.11,12.11,1204278.63,1584609.79,207208.0,3228561.72,43012.58,43200.0,1.33,-7.49,48.59
2025-02-21,PRJ0097,0.07,14.18,1862440.92,2018836.88,311868.98,3987294.38,43129.66,43200.0,0.66,39.22,55.5
2025-02-22,PRJ0061,0.0,5.04,951891.46,1873294.5,142149.0,2846531.63,43132.97,43200.0,1.1,-12.23,24.08
2025-02-23,PRJ0003,0.06,14.79,2017671.68,1205173.18,160775.92,3455815.05,43096.67,43200.0,2.61,14.0,47.47
2025-02-24,PRJ0103,0.04,17.44,1225607.61,2000165.43,229584.82,2885951.12,43164.59,43200.0,3.97,58.57,50.97
2025-02-25,PRJ0121,0.08,12.31,627346.33,1374097.09,210280.03,3311408.86,43081.1,43200.0,2.84,20.6,59.1
2025-02-26,PRJ0036,0.03,20.28,1297996.23,1147493.86,220156.77,2332420.23,43132.55,43200.0,1.81,10.43,57.3
2025-02-27,PRJ0034,0.05,5.84,949886.94,1018592.54,228157.39,189966.31,43041.85,43200.0,3.0,27.19,56.03
2025-02-28,PRJ0144,0.07,3.28,1604539.68,1163642.3,236560.89,2850101.46,43098.88,43200.0,1.97,66.11,40.13
2025-03-01,PRJ0122,0.08,0.37,962116.9,1123660.06,263987.29,4647382.76,43090.24,43200.0,1.71,-0.87,27.39
2025-03-02,PRJ0192,0.02,18.2,1050930.26,1384242.86,223574.46,4074233.53,43113.12,43200.0,1.2,12.53,44.81
2025-03-03,PRJ0184,0.05,13.62,429979.49,1379651.47,185979.74,4119461.52,43079.07,43200.0,0.53,56.31,60.85
2025-03-04,PRJ0104,0.04,9.76,1048296.11,1306164.92,238746.57,4431969.71,43092.7,43200.0,2.05,62.5,65.35
2025-03-05,PRJ0030,0.04,11.58,200100.2,1508574.94,309614.31,3107438.02,43147.51,43200.0,2.66,28.81,57.5
2025-03-06,PRJ0019,0.1,3.93,561468.83,1860178.63,192251.95,3232862.41,43075.22,43200.0,2.38,9.31,54.27
2025-03-07,PRJ0020,0.07,23.38,1570024.18,1747709.51,143638.87,2292142.86,43008.26,43200.0,2.02,66.59,53.69
2025-03-08,PRJ0093,0.02,10.76,1580945.35,612041.31,263836.05,2640256.45,43200.38,43200.0,1.43,57.97,42.94
2025-03-09,PRJ0107,0.08,10.65,1425921.36,113343.63,192959.44,3715886.79,43179.31,43200.0,3.17,42.25,47.83
2025-03-10,PRJ0138,0.11,14.01,826878.58,1740602.77,74455.37,4394747.73,43026.25,43200.0,1.01,16.63,68.52
2025-03-11,PRJ0173,0.08,12.68,1222358.04,667097.12,248842.71,2844137.04,43139.71,43200.0,3.35,29.75,38.49
2025-03-12,PRJ0198,0.02,11.28,1241334.22,1199891.23,168999.4,2485445.48,43071.43,43200.0,1.37,27.83,67.9
2025-03-13,PRJ0028,0.04,5.75,744540.78,758888.01,194682.93,3005709.72,43115.31,43200.0,1.65,36.27,45.63
2025-03-14,PRJ0097,0.09,12.63,1889665.25,464122.82,219079.89,3699075.06,43117.07,43200.0,0.85,55.51,64.57
2025-03-15,PRJ0179,0.04,20.31,1620336.55,1557335.49,210910.45,1338454.34,43086.81,43200.0,1.93,45.69,33.15
2025-03-16,PRJ0096,0.07,17.38,1147822.46,1658888.68,240876.0,354611.71,43055.36,43200.0,3.58,12.08,56.07
2025-03-17,PRJ0080,0.08,18.73,1254450.71,1035802.73,174764.51,2369613.96,43060.7,43200.0,3.06,54.23,40.86
2025-03-18,PRJ0012,0.03,7.27,1332533.02,96026.67,229538.51,1596028.27,43047.78,43200.0,3.58,35.97,33.06
2025-03-19,PRJ0014,0.05,4.67,364503.63,1049921.75,184923.69,2418552.54,43052.61,43200.0,3.07,42.39,51.84
2025-03-20,PRJ0080,-0.03,9.37,1136545.21,1487519.92,242571.24,2834517.03,43096.38,43200.0,1.25,55.78,60.94
2025-03-21,PRJ0132,0.03,10.36,949485.73,614833.96,235443.35,2481914.3,43059.25,43200.0,2.12,11.5,39.61
2025-03-22,PRJ0119,0.05,16.02,811974.34,1390281.08,145896.06,4681687.95,43139.27,43200.0,1.61,29.97,32.09
2025-03-23,PRJ0013,0.02,0.84,1121951.14,1297601.93,262617.77,3382262.77,43185.36,43200.0,3.97,21.46,48.27
2025-03-24,PRJ0066,0.1,18.39,2016271.81,1574982.55,168962.72,3351938.76,43067.02,43200.0,1.15,3.66,48.32
2025-03-25,PRJ0082,0.02,9.2,1518582.87,1360528.01,246569.75,3723315.88,43113.93,43200.0,3.49,36.54,55.63
2025-03-26,PRJ0103,0.04,7.73,997155.57,850808.77,221118.6,1690541.8,43128.83,43200.0,3.48,73.73,60.25
2025-03-27,PRJ0141,0.06,4.55,1489216.51,1862942.74,306051.7,4204550.16,43127.25,43200.0,4.53,-1.02,48.65
2025-03-28,PRJ0091,0.09,1.05,1844904.68,1230790.15,187007.08,2917645.36,43104.57,43200.0,2.03,30.03,70.66
2025-03-29,PRJ0151,0.02,14.54,1640673.31,1292006.43,179740.15,3779038.09,43142.74,43200.0,3.28,41.59,51.91
2025-03-30,PRJ0076,0.09,10.46,1268537.82,869375.87,198789.21,1767852.27,43127.83,43200.0,5.04,32.7,45.35
2025-03-31,PRJ0082,0.06,3.03,964563.6,1097953.46,182404.21,1211591.88,43029.37,43200.0,1.8,28.65,30.8
2025-04-01,PRJ0166,0.03,3.01,1543268.67,891984.83,246101.12,3949192.79,43149.98,43200.0,0.77,8.27,46.31
2025-04-02,PRJ0162,0.07,8.23,1412166.52,1224064.88,106580.87,3439590.95,43151.02,43200.0,0.39,34.59,45.46
2025-04-03,PRJ0184,0.06,19.15,1628007.65,2103253.35,139068.38,1963859.48,43056.53,43200.0,3.28,17.59,60.37
2025-04-04,PRJ0034,0.04,8.64,1516143.11,664754.16,138253.03,2001245.59,43102.4,43200.0,0.38,-7.02,54.65
2025-04-05,PRJ0187,0.06,1.87,1694415.07,552020.02,254783.59,4304193.06,43139.34,43200.0,2.07,51.11,35.77
2025-04-06,PRJ0118,0.05,8.72,1012619.04,1991042.67,298685.48,1632158.57,43088.24,43200.0,2.98,47.05,51.31
2025-04-07,PRJ0104,0.06,8.57,1809643.85,1207094.78,193879.39,4901242.63,43161.65,43200.0,2.69,31.48,57.05
2025-04-08,PRJ0183,0.07,-4.63,1327893.95,992622.54,190162.37,1965511.07,43235.55,43200.0,2.96,34.52,66.9
2025-04-09,PRJ0017,0.1,9.76,2135687.84,1789857.91,203955.52,3741998.02,43055.23,43200.0,2.74,49.04,59.53
2025-04-10,PRJ0060,0.02,8.8,946386.66,1022225.23,267000.2,2625775.0,43021.17,43200.0,3.92,34.44,58.08
2025-04-11,PRJ0151,0.11,13.85,1989717.9,2156574.7,146362.94,3701361.37,43117.62,43200.0,1.42,46.12,50.02
2025-04-12,PRJ0008,0.0,20.13,1328027.83,1620995.34,213674.54,2377027.87,43141.53,43200.0,1.73,25.48,53.79
2025-04-13,PRJ0094,0.05,16.19,962635.72,1077134.02,256220.81,2817187.96,43087.01,43200.0,1.62,53.12,63.7
2025-04-14,PRJ0061,0.07,8.59,1034710.2,2311124.95,228844.93,3052333.43,43183.42,43200.0,3.41,36.1,34.01
2025-04-15,PRJ0153,0.06,4.03,1105066.57,1022178.86,210857.44,1848272.3,43023.6,43200.0,3.49,33.92,45.31
2025-04-16,PRJ0121,0.04,24.07,1425365.69,1650930.31,257713.36,3860236.07,43139.89,43200.0,2.99,8.77,40.45
2025-04-17,PRJ0150,0.05,10.38,1467814.59,1444363.49,43819.4,2412696.34,43065.54,43200.0,3.81,35.52,53.69
2025-04-18,PRJ0182,0.04,10.13,996071.0,1912004.28,239052.7,2741226.73,43198.65,43200.0,1.17,16.3,63.47
2025-04-19,PRJ0147,0.04,9.93,1232406.42,2033186.55,162142.64,1857319.82,43214.29,43200.0,4.35,19.63,42.47
2025-04-20,PRJ0043,0.08,11.14,2164516.18,1319673.84,94205.39,47390.84,43056.34,43200.0,4.19,16.58,21.85
2025-04-21,PRJ0010,0.06,9.27,1986095.24,953275.66,229428.61,2784596.38,43068.77,43200.0,3.31,12.28,44.59
2025-04-22,PRJ0138,0.04,6.93,1430596.1,1519320.26,279228.9,5789989.54,43149.43,43200.0,4.48,67.08,59.83
2025-04-23,PRJ0147,0.08,7.08,1259233.66,988590.76,191973.93,3910771.39,43078.06,43200.0,0.64,53.46,55.51
2025-04-24,PRJ0024,0.06,9.88,1294523.09,2243986.04,254931.82,2982867.99,43097.63,43200.0,1.9,63.57,54.25
2025-04-25,PRJ0024,0.08,7.1,1506827.35,1368437.48,293007.38,2701644.62,43101.68,43200.0,1.66,9.58,46.11
2025-04-26,PRJ0174,0.07,6.18,802865.64,1134322.01,275836.87,3031032.75,42990.33,43200.0,3.29,31.81,34.62
2025-04-27,PRJ0038,0.03,10.64,1132157.4,1390897.03,294606.05,3636641.54,43099.43,43200.0,1.31,8.37,55.25
2025-04-28,PRJ0106,0.04,8.67,525037.87,676311.59,242762.77,1642084.51,43060.74,43200.0,3.33,18.64,39.74
2025-04-29,PRJ0017,0.07,18.25,1414634.97,851487.48,204266.26,4291365.19,43072.0,43200.0,4.02,14.82,74.44
2025-04-30,PRJ0088,0.07,-4.38,1521316.04,1864735.21,107409.18,3830867.11,43182.87,43200.0,3.26,51.88,55.89
2025-05-01,PRJ0069,0.05,16.0,1035011.08,998303.77,185702.3,3834104.24,43028.3,43200.0,2.8,23.78,42.65
2025-05-02,PRJ0123,0.06,16.84,1920033.31,816361.57,151219.45,3511234.17,43146.78,43200.0,1.38,48.94,42.3
2025-05-03,PRJ0116,0.09,-1.23,715544.01,1555091.64,325266.01,3027743.87,43084.26,43200.0,1.54,40.96,48.26
2025-05-04,PRJ0066,0.04,8.19,612891.28,1857873.13,189754.47,3781786.05,43084.21,43200.0,3.88,70.15,46.58
2025-05-05,PRJ0174,0.07,8.04,1339446.12,1640134.58,207024.69,3688233.14,43145.47,43200.0,3.36,5.18,62.17
2025-05-06,PRJ0091,0.05,2.39,1693359.15,1769398.68,231754.64,2596430.04,43119.69,43200.0,2.44,52.22,51.47
2025-05-07,PRJ0168,0.05,5.82,1967331.3,951700.2,202428.25,2342990.05,43132.89,43200.0,2.02,50.28,40.92
2025-05-08,PRJ0145,0.08,4.01,1045466.2,641471.44,297786.88,3122673.33,43155.65,43200.0,0.22,13.87,71.07
2025-05-09,PRJ0063,0.08,19.6,1706946.36,2005113.81,163957.27,4793138.92,43081.26,43200.0,1.29,47.89,49.9
2025-05-10,PRJ0178,0.08,15.15,1226317.24,1154214.3,211147.65,1574795.27,43065.18,43200.0,4.62,36.36,58.17
2025-05-11,PRJ0019,0.09,16.98,1168617.6,1187730.73,157038.5,1311131.47,43038.11,43200.0,1.06,26.68,42.34
2025-05-12,PRJ0028,0.06,13.99,1623045.88,1924344.5,123689.26,3195284.23,43052.97,43200.0,2.7,16.44,53.5
2025-05-13,PRJ0107,0.07,3.91,1523521.72,1564224.4,164585.52,3063840.13,43269.05,43200.0,3.61,18.24,52.91
2025-05-14,PRJ0055,0.05,7.2,564700.01,1517414.9,197771.95,3205189.1,43171.48,43200.0,1.08,65.8,27.6
2025-05-15,PRJ0051,0.06,12.72,1878110.61,2314714.25,175121.6,3286696.21,43022.88,43200.0,2.69,30.6,72.5
2025-05-16,PRJ0093,0.05,3.4,1836617.02,1004543.68,159928.49,2747457.27,43024.52,43200.0,3.53,44.02,64.17
2025-05-17,PRJ0068,0.06,13.94,973759.0,1737579.96,118706.38,4724854.15,43127.81,43200.0,2.5,17.0,44.76
2025-05-18,PRJ0102,0.07,8.75,1413163.82,1331340.49,195111.83,1157172.02,43131.55,43200.0,5.69,17.19,36.66
2025-05-19,PRJ0106,0.03,8.02,1455422.18,1430041.84,113024.36,2048763.69,43131.65,43200.0,0.62,49.17,53.33
2025-05-20,PRJ0006,0.11,13.93,1355029.26,2017772.15,243798.01,2885913.02,43085.63,43200.0,3.67,7.41,50.33
2025-05-21,PRJ0170,0.03,12.48,1006135.76,1541648.56,204670.81,1108362.51,43093.04,43200.0,2.29,23.46,53.42
2025-05-22,PRJ0021,0.02,8.09,953943.12,1555858.25,115748.01,2802111.03,43119.0,43200.0,3.35,31.17,51.53
2025-05-23,PRJ0194,0.09,16.37,1231890.39,1805066.99,182056.07,4922940.31,43105.14,43200.0,2.98,32.5,55.15
2025-05-24,PRJ0151,0.08,4.17,1747407.09,1134494.06,156479.22,3029209.64,42973.18,43200.0,1.67,27.51,65.97
2025-05-25,PRJ0036,0.07,13.41,1476747.81,913253.92,218340.45,3271399.05,43087.07,43200.0,2.74,37.39,55.86
2025-05-26,PRJ0131,0.07,13.29,1083441.05,817342.05,277311.38,1550488.32,43051.49,43200.0,0.41,42.49,37.26
2025-05-27,PRJ0183,0.05,8.37,1574878.73,387441.6,91633.57,2293632.47,43110.26,43200.0,3.16,43.21,65.0
2025-05-28,PRJ0033,0.03,11.83,17404.62,2263961.45,206552.43,2572009.99,43271.12,43200.0,2.82,13.66,68.19
2025-05-29,PRJ0043,0.06,3.24,1737097.77,790098.93,190664.09,2638360.81,43121.26,43200.0,3.2,25.71,85.57
2025-05-30,PRJ0026,0.04,15.09,494436.96,1201529.47,238675.34,4484505.59,43082.28,43200.0,3.67,51.11,36.41
2025-05-31,PRJ0007,0.08,9.05,1086957.35,1175610.97,212221.03,3648844.77,43153.0,43200.0,2.9,45.95,52.12
2025-06-01,PRJ0026,0.05,7.21,761187.77,1448148.71,156490.02,1722141.03,43127.86,43200.0,2.65,7.01,25.39
2025-06-02,PRJ0097,0.03,15.77,685895.55,1685284.12,181487.6,3289641.51,43124.27,43200.0,1.5,36.63,55.69
2025-06-03,PRJ0168,0.05,6.22,1742286.6,1706153.52,153946.09,3580199.16,43134.97,43200.0,1.69,-3.39,43.03
2025-06-04,PRJ0111,0.07,2.39,1041673.04,1032739.22,262041.79,4321177.77,43217.95,43200.0,3.81,31.39,71.44
2025-06-05,PRJ0172,0.04,1.58,1391954.48,1226781.93,201141.13,4829523.17,43035.49,43200.0,4.09,63.18,40.42
2025-06-06,PRJ0048,0.03,13.36,1222698.24,1436567.07,309689.88,1833374.02,43127.34,43200.0,2.22,14.31,29.91
2025-06-07,PRJ0054,0.06,3.09,1448113.14,1188729.92,196407.84,2069125.03,43047.19,43200.0,2.54,16.26,43.91
2025-06-08,PRJ0099,0.06,19.61,1275933.84,2054568.22,159005.43,1553474.39,43132.03,43200.0,1.48,43.71,26.62
2025-06-09,PRJ0005,0.04,-1.28,690924.42,1533783.02,112505.03,2734970.47,43047.63,43200.0,3.8,4.09,57.97
2025-06-10,PRJ0153,0.04,19.3,1671490.8,1647563.32,95792.91,3543419.18,43076.33,43200.0,3.23,19.72,25.59
2025-06-11,PRJ0140,0.06,11.21,1030463.68,1613977.05,108438.72,4144783.5,43083.33,43200.0,4.66,40.83,49.66
2025-06-12,PRJ0027,0.02,9.53,573222.64,1852167.72,215335.08,2917429.8,43156.09,43200.0,1.51,19.69,25.44
2025-06-13,PRJ0088,0.02,7.09,1058703.46,1389190.23,229285.55,2635899.34,43152.8,43200.0,2.06,26.54,45.65
2025-06-14,PRJ0047,0.04,12.23,1888530.13,699773.82,108608.78,3180275.01,43028.91,43200.0,2.75,43.37,68.22
2025-06-15,PRJ0056,0.05,9.85,1608660.34,1491197.77,251592.21,2041092.33,43103.37,43200.0,3.21,37.83,53.48
2025-06-16,PRJ0008,0.06,16.07,1092889.47,1000886.95,172017.43,5417061.14,43059.61,43200.0,2.25,35.17,39.4
2025-06-17,PRJ0145,0.09,10.68,1092628.95,1058145.08,208386.73,1149372.34,43028.18,43200.0,1.51,24.76,48.97
2025-06-18,PRJ0079,0.08,10.88,1104512.56,1578281.87,293004.05,3218346.91,43087.8,43200.0,3.47,36.94,49.54
2025-06-19,PRJ0096,0.05,8.08,2136327.61,1882401.12,251696.21,5340955.05,43082.57,43200.0,3.29,28.46,54.76
2025-06-20,PRJ0088,0.05,9.75,1407197.59,1314667.11,184404.94,3012949.38,43239.15,43200.0,1.46,38.45,33.61
2025-06-21,PRJ0088,0.03,11.73,1427893.49,1448814.08,148450.96,2785737.67,43125.01,43200.0,4.0,22.05,56.14
2025-06-22,PRJ0186,0.05,0.75,1686125.19,2098824.63,75659.54,2592499.97,43021.36,43200.0,3.79,27.45,18.23
2025-06-23,PRJ0013,0.05,2.72,1345614.23,1417054.94,158384.9,2796873.64,43067.89,43200.0,2.64,13.59,42.09
2025-06-24,PRJ0122,0.06,14.11,1131440.83,2518425.16,187719.37,4589783.43,43158.7,43200.0,2.58,29.99,43.72
2025-06-25,PRJ0058,0.03,10.99,1158411.86,1568553.34,142908.42,451941.44,43219.78,43200.0,3.11,16.66,56.61
2025-06-26,PRJ0082,0.07,9.06,1212080.3,483350.81,192331.45,4775147.44,43009.43,43200.0,1.52,11.45,49.59
2025-06-27,PRJ0044,0.09,10.16,1226870.59,1656176.67,204348.16,1361422.27,42992.61,43200.0,2.52,35.03,33.17
2025-06-28,PRJ0067,0.05,11.95,1555919.61,1482553.76,186926.82,2697302.71,43207.33,43200.0,0.08,34.24,38.0
2025-06-29,PRJ0192,0.07,7.12,1265231.86,1906411.65,162377.83,2509622.17,43122.53,43200.0,3.47,44.03,51.61
2025-06-30,PRJ0082,0.07,5.82,1558075.2,1618782.03,209649.07,3684469.11,43050.52,43200.0,0.74,23.18,48.42
2025-07-01,PRJ0182,0.04,11.12,1208158.77,1240154.45,225429.26,1160380.55,43130.83,43200.0,4.17,37.6,42.67
2025-07-02,PRJ0112,0.06,4.73,1276713.94,733610.69,136948.27,3538587.6,42949.34,43200.0,2.12,40.05,43.8
2025-07-03,PRJ0021,0.06,12.28,383232.59,1207234.92,281381.18,5341766.99,43100.42,43200.0,2.25,38.23,57.33
2025-07-04,PRJ0082,0.06,0.79,1637099.96,907977.46,194217.83,1431584.44,43118.99,43200.0,1.79,16.41,43.38
2025-07-05,PRJ0112,0.04,15.66,1391947.85,1033930.65,200998.97,3224078.7,43153.14,43200.0,2.16,33.15,48.32
2025-07-06,PRJ0002,0.06,12.63,1672240.79,1579314.88,240804.55,2240972.28,43042.18,43200.0,4.07,36.84,74.28
2025-07-07,PRJ0092,0.07,11.45,-3122.02,2083751.86,213377.0,3496703.18,43105.13,43200.0,-0.29,30.71,32.96
2025-07-08,PRJ0170,0.09,15.41,2141329.58,1488857.62,254946.95,3027202.64,43047.25,43200.0,3.91,-5.25,28.04
2025-07-09,PRJ0078,0.08,19.13,1182830.83,746866.33,216489.78,2264630.03,43114.85,43200.0,2.86,33.35,58.34
2025-07-10,PRJ0076,0.11,15.58,1719638.49,1512150.42,164546.93,3568252.75,43048.97,43200.0,1.14,68.59,41.53
2025-07-11,PRJ0108,0.04,0.03,795503.25,1862970.72,220784.63,5087864.75,43076.86,43200.0,1.28,24.4,45.67
2025-07-12,PRJ0194,0.08,3.09,1506507.24,1020281.16,133869.04,2784739.48,43043.22,43200.0,4.36,18.08,40.35
2025-07-13,PRJ0145,0.06,6.66,789691.23,1242225.15,206179.04,3835919.06,43137.5,43200.0,1.43,37.0,46.34
2025-07-14,PRJ0113,0.11,10.2,974530.69,1311595.97,197991.76,1512271.43,43149.37,43200.0,1.2,35.95,67.71
2025-07-15,PRJ0171,0.03,12.88,2066324.84,938590.08,187893.37,1901082.91,43086.79,43200.0,3.76,51.07,58.55
2025-07-16,PRJ0019,0.03,6.11,1160850.07,1607165.79,192488.48,3550400.29,43102.41,43200.0,2.86,8.98,59.24
2025-07-17,PRJ0175,0.04,11.07,1336426.48,1248321.83,91248.04,4718219.9,43017.3,43200.0,1.44,43.15,33.05
2025-07-18,PRJ0105,0.0,5.94,1617198.34,1500455.2,168225.84,3415585.86,43083.07,43200.0,2.73,40.73,36.09
2025-07-19,PRJ0154,0.04,6.73,1456132.76,890730.2,205271.63,2643736.47,43097.35,43200.0,1.34,28.15,16.69
2025-07-20,PRJ0005,0.04,2.4,1307596.21,1100670.32,209141.04,3004282.37,43250.26,43200.0,3.72,36.41,40.02
2025-07-21,PRJ0026,0.06,5.03,1399894.97,1641733.76,140570.1,1561750.89,43036.57,43200.0,3.67,48.27,60.33
2025-07-22,PRJ0015,0.06,2.7,2276864.19,1130817.85,272995.56,3702894.16,43184.04,43200.0,3.08,45.57,55.27
2025-07-23,PRJ0127,0.1,4.74,1218095.73,2110369.96,149895.52,4023580.01,43157.29,43200.0,2.89,10.96,46.78
2025-07-24,PRJ0145,0.08,15.8,1329399.46,1118314.28,255889.34,2483251.07,43116.29,43200.0,4.45,44.68,49.07
2025-07-25,PRJ0073,0.04,4.89,1694889.03,1409559.03,224577.78,2462529.23,43200.9,43200.0,2.49,29.48,41.41
2025-07-26,PRJ0007,0.03,24.39,1718495.47,1739796.16,162595.82,3312004.34,43121.53,43200.0,1.17,31.84,51.68
