date,ticket_id,agent_id,support_cost,sla_met,first_contact_resolution,csat_score,first_contact_resolution_rate
2025-02-27,TCK03073,AGT0226,50114.48,No,No,3.99,84.25179348590682
2025-02-28,TCK01021,AGT0298,49803.96,Yes,No,5.08,72.7239586244475
2025-03-01,TCK03843,AGT0031,-3860.29,No,No,4.6,71.38061530869874
2025-03-02,TCK07989,AGT0167,75803.75,Yes,Yes,4.52,84.93033394405225
2025-03-03,TCK09692,AGT0062,58907.51,Yes,No,4.71,75.50206393015746
2025-03-04,TCK06873,AGT0105,101647.01,Yes,Yes,4.29,65.35794320039739
2025-03-05,TCK05675,AGT0178,53216.25,Yes,Yes,4.59,71.07473946724043
2025-03-06,TCK00161,AGT0234,69816.35,No,No,5.04,77.003250980254
2025-03-07,TCK04297,AGT0289,76693.11,No,Yes,4.76,67.33699730845203
2025-03-08,TCK00995,AGT0015,9914.82,Yes,No,4.6,78.19514268264456
2025-03-09,TCK07629,AGT0091,122927.52,No,No,4.61,84.1461951958866
2025-03-10,TCK09467,AGT0170,43987.28,Yes,No,4.26,72.15641040300174
2025-03-11,TCK01016,AGT0218,67957.17,No,No,4.54,85.02680972988293
2025-03-12,TCK07869,AGT0081,71739.46,No,No,4.13,72.76900020887632
2025-03-13,TCK06439,AGT0011,34040.61,Yes,Yes,4.87,77.26735870322081
2025-03-14,TCK07892,AGT0058,102989.21,No,Yes,3.98,72.8895901084245
2025-03-15,TCK06863,AGT0155,62035.37,Yes,No,4.82,74.14287754572061
2025-03-16,TCK07916,AGT0099,49616.59,No,No,4.86,73.8840207506965
2025-03-17,TCK08529,AGT0181,58734.06,Yes,Yes,4.95,79.24830809217626
2025-03-18,TCK00878,AGT0170,74942.93,Yes,Yes,4.61,72.58650919922026
2025-03-19,TCK09268,AGT0063,55425.95,No,Yes,4.84,69.76353753557804
2025-03-20,TCK04887,AGT0113,77991.18,No,Yes,4.54,66.62937155587557
2025-03-21,TCK04859,AGT0089,11502.42,Yes,No,4.25,71.37363261058968
2025-03-22,TCK06331,AGT0155,35771.32,No,No,5.01,70.68903487226125
2025-03-23,TCK08571,AGT0262,-255.84,No,Yes,4.56,76.06017549660069
2025-03-24,TCK08684,AGT0051,106875.43,Yes,No,4.19,80.78208729594422
2025-03-25,TCK07208,AGT0118,106538.27,Yes,Yes,4.45,68.81676985739516
2025-03-26,TCK05276,AGT0071,71377.69,No,No,4.47,75.69704562432783
2025-03-27,TCK02062,AGT0191,28916.05,Yes,Yes,4.71,70.02814782302585
2025-03-28,TCK00064,AGT0209,117052.08,Yes,No,5.24,79.27814364194406
2025-03-29,TCK08006,AGT0090,39489.89,Yes,Yes,4.73,78.25812936122412
2025-03-30,TCK02568,AGT0281,49623.47,No,Yes,4.64,81.74484009074466
2025-03-31,TCK05463,AGT0194,59278.69,No,No,5.27,72.61108319576464
2025-04-01,TCK02027,AGT0036,66842.01,Yes,Yes,4.86,69.21972881383394
2025-04-02,TCK02695,AGT0057,71822.88,No,No,4.66,74.50612681045334
2025-04-03,TCK09687,AGT0157,72863.14,Yes,No,4.45,82.96309874734983
2025-04-04,TCK05258,AGT0273,51402.59,No,Yes,4.67,66.25529957913284
2025-04-05,TCK05618,AGT0173,72452.29,Yes,No,4.57,78.83727524065823
2025-04-06,TCK06736,AGT0028,50245.13,Yes,No,4.61,77.43848234638213
2025-04-07,TCK00391,AGT0060,70152.14,No,No,4.95,69.86130968113345
2025-04-08,TCK05892,AGT0064,68027.76,Yes,No,4.43,73.6174147544988
2025-04-09,TCK03561,AGT0003,74906.54,No,No,4.73,72.41230381145937
2025-04-10,TCK06184,AGT0080,71671.71,No,Yes,4.85,73.88331271341143
2025-04-11,TCK03099,AGT0049,43685.76,Yes,No,4.4,68.45685239992048
2025-04-12,TCK06278,AGT0031,67028.37,Yes,No,4.36,66.34947238590314
2025-04-13,TCK08392,AGT0130,72071.48,No,No,4.54,71.33856238270009
2025-04-14,TCK03104,AGT0240,21701.8,Yes,No,4.46,76.46606975100428
2025-04-15,TCK07215,AGT0211,48047.58,Yes,No,4.91,74.9891542925409
2025-04-16,TCK02454,AGT0140,70898.43,Yes,Yes,4.31,76.21172770469383
2025-04-17,TCK08996,AGT0013,99422.63,Yes,No,4.6,77.69278815182078
2025-04-18,TCK02731,AGT0022,76513.91,Yes,Yes,5.29,78.47301072810355
2025-04-19,TCK08154,AGT0254,101056.76,No,Yes,4.7,80.17274032460745
2025-04-20,TCK09762,AGT0165,44827.04,No,Yes,4.75,67.99168745273268
2025-04-21,TCK05056,AGT0041,61627.01,Yes,Yes,4.91,76.41197474487295
2025-04-22,TCK08110,AGT0254,76017.48,Yes,No,4.46,80.31003161313274
2025-04-23,TCK03840,AGT0224,-5114.04,Yes,Yes,4.28,79.03186183230933
2025-04-24,TCK01028,AGT0186,94281.1,No,Yes,4.63,74.09267528046661
2025-04-25,TCK07385,AGT0268,6942.46,Yes,No,4.66,64.95331689351403
2025-04-26,TCK00502,AGT0127,80970.32,No,No,4.13,65.70519120594338
2025-04-27,TCK06910,AGT0027,72937.48,No,No,4.69,76.24370716432004
2025-04-28,TCK09062,AGT0009,-5457.04,No,Yes,4.88,80.52692350342959
2025-04-29,TCK06938,AGT0158,-4148.1,Yes,No,4.33,80.6351262509865
2025-04-30,TCK04488,AGT0079,92252.31,No,No,4.71,70.54844192227893
2025-05-01,TCK00206,AGT0037,86611.6,Yes,Yes,4.83,68.64857981609777
2025-05-02,TCK05134,AGT0124,32328.93,No,No,4.75,64.48196792629585
2025-05-03,TCK05977,AGT0248,32302.63,Yes,No,4.77,65.18124253381917
2025-05-04,TCK07721,AGT0222,68424.42,No,No,4.52,74.32605619554602
2025-05-05,TCK07035,AGT0142,54816.13,Yes,No,4.27,74.63465991927515
2025-05-06,TCK01484,AGT0241,82458.6,No,Yes,4.46,71.25210361095355
2025-05-07,TCK07858,AGT0051,67568.99,Yes,No,4.42,74.27559439300347
2025-05-08,TCK00863,AGT0036,96152.03,Yes,No,4.56,71.8933348444302
2025-05-09,TCK02790,AGT0139,80274.5,Yes,Yes,4.89,69.56363822823575
2025-05-10,TCK07408,AGT0141,73816.67,Yes,No,4.22,79.85269387061479
2025-05-11,TCK08755,AGT0092,46025.03,No,Yes,4.62,74.92571686110833
2025-05-12,TCK05116,AGT0264,44129.0,No,No,4.29,77.85451070299297
2025-05-13,TCK06019,AGT0060,53805.51,Yes,Yes,4.38,68.39283718245647
2025-05-14,TCK01757,AGT0154,102832.82,No,Yes,4.74,76.54680201150732
2025-05-15,TCK07574,AGT0149,44622.37,Yes,Yes,4.25,73.4211284602568
2025-05-16,TCK06374,AGT0199,61894.81,Yes,Yes,4.79,83.43516028031524
2025-05-17,TCK06892,AGT0009,-3001.66,No,No,4.21,76.32016215476342
2025-05-18,TCK01678,AGT0265,72651.95,Yes,Yes,4.77,76.02572727057148
2025-05-19,TCK03242,AGT0066,113615.22,Yes,No,4.15,73.64309521900717
2025-05-20,TCK04636,AGT0040,30961.89,No,Yes,4.41,71.92193458892564
2025-05-21,TCK01059,AGT0171,137374.91,Yes,Yes,5.11,78.63847253212104
2025-05-22,TCK06668,AGT0009,59866.88,Yes,Yes,5.06,74.88236573945429
2025-05-23,TCK09914,AGT0025,-11501.28,Yes,No,4.47,79.59732821343322
2025-05-24,TCK03157,AGT0021,45159.51,Yes,Yes,4.69,73.66936036478978
2025-05-25,TCK05915,AGT0222,89609.05,No,No,4.92,78.52973684959889
2025-05-26,TCK09789,AGT0170,106935.24,No,No,4.77,74.52597868194371
2025-05-27,TCK02693,AGT0024,73747.4,No,No,4.51,66.65907007921169
2025-05-28,TCK03627,AGT0200,95752.18,Yes,No,4.38,72.37013156521695
2025-05-29,TCK09555,AGT0029,24637.66,Yes,No,4.83,67.36359521285387
2025-05-30,TCK05450,AGT0210,37525.19,No,No,4.9,61.32912598887934
2025-05-31,TCK01663,AGT0271,11642.63,Yes,No,5.06,86.08759865839549
2025-06-01,TCK09721,AGT0089,39473.09,Yes,No,4.12,73.64406691417942
2025-06-02,TCK05592,AGT0161,74882.49,Yes,No,4.24,66.07664165927034
2025-06-03,TCK07392,AGT0266,60654.74,Yes,Yes,4.91,71.216353703971
2025-06-04,TCK01306,AGT0062,77626.43,No,Yes,4.15,74.61175410701023
2025-06-05,TCK06776,AGT0142,30887.4,No,Yes,4.93,69.51368873650303
2025-06-06,TCK05864,AGT0187,32467.22,No,Yes,4.52,81.9966860575016
2025-06-07,TCK09474,AGT0201,60446.33,Yes,Yes,4.44,75.12222268782229
2025-06-08,TCK07526,AGT0139,39535.65,No,No,4.64,75.23890349059768
2025-06-09,TCK08901,AGT0266,88868.49,No,No,4.21,68.4956157423475
2025-06-10,TCK05575,AGT0212,38894.0,Yes,No,4.81,72.4364632511574
2025-06-11,TCK05530,AGT0091,42314.0,Yes,No,5.06,76.29756408557813
2025-06-12,TCK04413,AGT0065,65995.58,No,No,4.83,60.56526065220564
2025-06-13,TCK03748,AGT0287,45062.38,No,No,4.52,75.64669659457644
2025-06-14,TCK00663,AGT0205,23157.05,No,No,4.16,73.89368866926876
2025-06-15,TCK01998,AGT0245,26669.25,No,Yes,4.17,71.81518452518706
2025-06-16,TCK07994,AGT0089,69076.18,Yes,Yes,4.21,80.7177794516684
2025-06-17,TCK01495,AGT0164,19951.07,No,Yes,4.58,72.72204456307686
2025-06-18,TCK03304,AGT0183,91337.47,No,Yes,4.62,78.0386209667898
2025-06-19,TCK03763,AGT0157,37262.59,Yes,No,4.83,70.66895914168516
2025-06-20,TCK05232,AGT0022,71108.29,No,No,4.08,75.47570037405428
2025-06-21,TCK01853,AGT0042,38816.45,Yes,No,4.95,76.21211127561727
2025-06-22,TCK06585,AGT0108,31438.43,Yes,Yes,4.78,73.22069799524894
2025-06-23,TCK01291,AGT0297,61521.15,Yes,No,4.49,73.9548625148139
2025-06-24,TCK03581,AGT0145,82390.95,No,No,4.25,73.96669232724581
2025-06-25,TCK07554,AGT0200,48738.59,No,No,4.93,68.21230491209174
2025-06-26,TCK07280,AGT0087,53450.16,Yes,Yes,4.5,71.57238972456472
2025-06-27,TCK01636,AGT0230,76061.05,No,No,4.58,69.99582127246327
2025-06-28,TCK03696,AGT0211,76918.71,No,Yes,4.69,68.87205015864892
2025-06-29,TCK00698,AGT0182,54149.18,Yes,Yes,4.33,71.73603256190816
2025-06-30,TCK04737,AGT0121,43658.63,Yes,Yes,4.51,73.12312862992432
2025-07-01,TCK00854,AGT0255,57287.31,No,Yes,4.83,66.71958426306558
2025-07-02,TCK08164,AGT0146,50201.0,Yes,No,4.8,75.6065614649053
2025-07-03,TCK05855,AGT0003,63253.32,No,Yes,4.8,76.44733843715818
2025-07-04,TCK07392,AGT0045,24210.65,No,Yes,4.26,77.18710091584435
2025-07-05,TCK06528,AGT0109,62326.17,No,No,4.52,68.46253745147698
2025-07-06,TCK05249,AGT0164,36539.78,No,No,4.47,82.39411353651569
2025-07-07,TCK05172,AGT0261,78611.76,Yes,Yes,4.7,71.53580958700857
2025-07-08,TCK01707,AGT0188,37727.08,Yes,No,4.68,75.6583601383346
2025-07-09,TCK05791,AGT0054,38176.71,Yes,Yes,4.63,73.8630468745132
2025-07-10,TCK09925,AGT0229,66683.56,Yes,Yes,5.27,71.00702173604648
2025-07-11,TCK05535,AGT0239,55514.38,No,Yes,4.5,75.4318341304889
2025-07-12,TCK04931,AGT0150,114119.13,No,Yes,4.47,75.72675195511982
2025-07-13,TCK03510,AGT0009,12941.86,Yes,No,4.26,70.08195147742697
2025-07-14,TCK00202,AGT0202,57991.8,No,Yes,4.16,69.69403907816874
2025-07-15,TCK04218,AGT0231,84407.94,No,No,4.25,73.64153534260227
2025-07-16,TCK08958,AGT0138,40165.98,No,No,4.38,81.60640037735416
2025-07-17,TCK04389,AGT0227,31559.75,Yes,No,4.95,78.91791759024345
2025-07-18,TCK02327,AGT0039,32587.94,Yes,No,4.6,81.70814943639341
2025-07-19,TCK08004,AGT0126,13391.06,Yes,Yes,4.64,75.83539593749724
2025-07-20,TCK02931,AGT0225,90108.1,No,No,4.56,79.59902118007078
2025-07-21,TCK07777,AGT0282,46608.05,Yes,Yes,4.69,82.52583671974257
2025-07-22,TCK00197,AGT0000,43540.84,Yes,No,4.97,70.07328219002152
2025-07-23,TCK07125,AGT0021,125.0,Yes,No,4.03,72.57235262506408
2025-07-24,TCK01930,AGT0091,18008.4,Yes,Yes,4.92,83.54811552871996
2025-07-25,TCK06287,AGT0294,93104.74,Yes,Yes,3.88,77.6134626492944
2025-07-26,TCK08800,AGT0094,62997.69,Yes,Yes,4.59,74.74920478222046
2025-07-27,TCK09339,AGT0146,85362.51,No,No,5.19,76.22810321661532
2025-07-28,TCK04282,AGT0140,82085.52,No,No,4.77,80.57808670222153
2025-07-29,TCK02511,AGT0167,29226.83,Yes,Yes,4.69,68.6337542361428
2025-07-30,TCK09986,AGT0294,118087.42,Yes,Yes,5.14,71.52576969405045
2025-07-31,TCK00659,AGT0207,105650.83,No,Yes,4.39,73.43294017009114
2025-08-01,TCK02811,AGT0111,40542.81,No,Yes,4.71,75.77158958368142
2025-08-02,TCK07098,AGT0102,-37282.2,Yes,No,4.75,74.23383570170083
2025-08-03,TCK06546,AGT0141,45910.87,Yes,Yes,4.44,77.87457713478864
2025-08-04,TCK09561,AGT0185,61318.91,Yes,Yes,4.46,71.80980817755471
2025-08-05,TCK01986,AGT0115,40440.42,Yes,Yes,4.43,78.39700154155028
2025-08-06,TCK08338,AGT0122,49408.08,No,Yes,4.61,80.36573758843949
2025-08-07,TCK02911,AGT0207,33681.23,Yes,No,4.74,71.39335671301818
2025-08-08,TCK01734,AGT0049,79019.66,Yes,Yes,4.62,74.29206000360553
2025-08-09,TCK01843,AGT0094,56794.56,Yes,No,4.78,88.48573791695952
2025-08-10,TCK08680,AGT0194,79793.64,Yes,Yes,4.04,75.9408875956178
2025-08-11,TCK02976,AGT0094,86805.39,No,Yes,4.52,74.39743538633701
2025-08-12,TCK01959,AGT0059,-1176.01,No,No,4.3,78.3241412096259
2025-08-13,TCK05759,AGT0061,35187.14,No,Yes,4.67,70.65888663766357
2025-08-14,TCK06694,AGT0093,38981.8,Yes,No,4.66,71.01379394545543
2025-08-15,TCK02385,AGT0238,121753.38,Yes,No,4.55,78.66298332053039
2025-08-16,TCK04736,AGT0227,59005.98,No,Yes,4.73,61.85972523169215
2025-08-17,TCK01802,AGT0176,76194.28,Yes,No,4.86,64.21302665108132
2025-08-18,TCK08155,AGT0037,6430.04,Yes,No,4.57,76.88632419263462
2025-08-19,TCK08120,AGT0248,58856.0,No,No,4.29,73.61086095842361
2025-08-20,TCK06616,AGT0262,80487.3,No,No,4.14,65.71422841696287
2025-08-21,TCK05534,AGT0252,77474.02,No,No,4.59,73.43061557209928
2025-08-22,TCK04061,AGT0105,71294.37,No,No,4.65,71.44327552272749
2025-08-23,TCK00262,AGT0024,55483.0,Yes,No,4.31,72.93965259315598
2025-08-24,TCK06287,AGT0257,56741.08,Yes,No,4.79,79.60525931025538
2025-08-25,TCK08815,AGT0038,11284.99,No,Yes,4.46,75.82085329732273
2025-08-26,TCK09208,AGT0102,31819.43,Yes,Yes,4.12,74.26026249183656
2025-08-27,TCK02049,AGT0269,61128.46,No,No,4.93,78.43844889059376
2025-08-28,TCK05423,AGT0082,36600.08,No,Yes,4.9,81.86505902365703
2025-08-29,TCK04548,AGT0266,72989.46,Yes,No,4.02,81.84294911963437
2025-08-30,TCK03108,AGT0130,67237.47,No,No,4.43,76.60081722637817
2025-08-31,TCK07158,AGT0092,90565.7,Yes,Yes,4.42,77.74630685010888
2025-09-01,TCK07400,AGT0299,79968.22,Yes,No,5.04,72.79248618424558
2025-09-02,TCK03170,AGT0152,61033.07,Yes,No,4.56,70.69125565365715
2025-09-03,TCK09874,AGT0214,74521.44,Yes,No,4.17,82.92856879123117
2025-09-04,TCK02255,AGT0164,81181.75,No,No,4.83,84.03185057661351
2025-09-05,TCK01154,AGT0037,42001.92,Yes,Yes,4.24,75.38340239962247
2025-09-06,TCK04499,AGT0254,46615.47,No,No,4.51,84.2230188344657
2025-09-07,TCK06295,AGT0239,52638.12,No,No,4.37,71.3529322185035
2025-09-08,TCK06197,AGT0245,42828.41,No,No,4.43,71.36346173147585
2025-09-09,TCK09888,AGT0057,81455.93,No,Yes,4.85,76.91090669804885
2025-09-10,TCK01648,AGT0050,38896.8,Yes,No,5.01,67.50789053094812
2025-09-11,TCK05539,AGT0167,87568.2,Yes,Yes,4.23,73.69979720274151
2025-09-12,TCK09637,AGT0034,45640.41,No,Yes,4.76,77.9008917830033
2025-09-13,TCK04199,AGT0163,67382.89,No,No,4.38,76.48349694203547
2025-09-14,TCK08445,AGT0124,59456.95,Yes,No,4.39,82.37421382563232
2025-09-15,TCK02557,AGT0150,29865.1,No,Yes,4.72,74.72734336567974
2025-09-16,TCK05592,AGT0278,54631.03,Yes,No,4.3,79.08095267400171
2025-09-17,TCK00098,AGT0284,63788.73,No,Yes,4.72,76.95412060798024
2025-09-18,TCK02200,AGT0167,53480.85,Yes,Yes,4.79,77.93238603310994
2025-09-19,TCK02961,AGT0073,20365.65,No,No,4.46,79.0326224724822
2025-09-20,TCK04973,AGT0053,99218.95,No,No,4.95,77.21477606290722
2025-09-21,TCK04433,AGT0013,57417.95,Yes,Yes,4.23,64.02159485647762
2025-09-22,TCK02869,AGT0211,34571.15,No,Yes,4.96,72.42231484893922
2025-09-23,TCK00956,AGT0292,97129.55,No,Yes,4.04,83.41530970576461
2025-09-24,TCK08352,AGT0250,71138.7,Yes,Yes,5.34,73.14389120076544
2025-09-25,TCK05699,AGT0144,24057.83,No,No,4.47,83.51950268201244
2025-09-26,TCK06944,AGT0099,28090.34,Yes,No,4.26,79.24487382136515
2025-09-27,TCK04493,AGT0265,49385.48,Yes,No,4.52,80.34802775340131
2025-09-28,TCK09492,AGT0140,62847.49,No,No,4.29,77.33565005446847
2025-09-29,TCK04911,AGT0007,71278.84,No,No,4.69,68.13202575406706
2025-09-30,TCK03987,AGT0188,79759.04,No,Yes,4.97,73.96337824116125
2025-10-01,TCK09719,AGT0258,69122.97,No,No,4.31,78.36969965987889
2025-10-02,TCK06015,AGT0218,90031.47,No,No,4.75,80.37341642053192
2025-10-03,TCK01218,AGT0064,58430.61,No,No,4.16,69.33165461022834
2025-10-04,TCK04496,AGT0297,35469.04,No,No,4.87,81.19228881751708
2025-10-05,TCK04735,AGT0092,55059.44,Yes,No,4.7,79.55338855489876
2025-10-06,TCK04555,AGT0145,53359.41,No,Yes,4.88,69.79613599348718
2025-10-07,TCK09146,AGT0222,-11638.16,Yes,Yes,4.55,63.81391403864532
2025-10-08,TCK08050,AGT0110,40604.96,No,Yes,4.46,75.12826356249973
2025-10-09,TCK03446,AGT0296,63285.17,No,No,4.81,73.7027592557077
2025-10-10,TCK01045,AGT0156,44157.64,Yes,Yes,4.22,75.3555283183032
2025-10-11,TCK06893,AGT0009,38407.26,No,Yes,4.1,68.11354583808088
2025-10-12,TCK01693,AGT0109,78753.93,No,No,4.58,74.76262071015637
2025-10-13,TCK03436,AGT0222,31404.64,Yes,No,4.48,75.71666700961171
2025-10-14,TCK08754,AGT0221,73579.65,No,No,4.74,81.37249115134381
2025-10-15,TCK05895,AGT0186,20623.71,No,Yes,4.89,70.89177490737397
2025-10-16,TCK03354,AGT0142,126659.21,No,Yes,4.73,76.29195398209659
2025-10-17,TCK00225,AGT0020,49559.27,Yes,No,4.87,73.53282570120554
2025-10-18,TCK04893,AGT0144,46772.59,No,No,4.67,78.77909665295373
2025-10-19,TCK07022,AGT0183,84755.47,No,Yes,4.72,84.94888098241428
2025-10-20,TCK09151,AGT0082,44300.39,No,Yes,4.55,81.36503256762491
2025-10-21,TCK05600,AGT0058,92833.74,No,No,4.71,77.25505891950232
2025-10-22,TCK07996,AGT0201,64771.76,Yes,No,4.63,78.1779380505016
2025-10-23,TCK09007,AGT0229,52079.34,Yes,Yes,4.68,67.17153407325938
2025-10-24,TCK07683,AGT0000,49317.84,No,No,4.54,79.1905980011061
2025-10-25,TCK04642,AGT0098,86426.92,No,Yes,4.81,80.85972917013964
2025-10-26,TCK07679,AGT0150,61116.63,Yes,Yes,4.39,86.15033054897539
2025-10-27,TCK08208,AGT0213,66344.48,Yes,Yes,4.58,82.19762369595493
2025-10-28,TCK07339,AGT0032,69160.0,No,Yes,4.95,81.12949799858472
2025-10-29,TCK09435,AGT0102,58589.73,Yes,No,4.32,75.83025204161613
2025-10-30,TCK02205,AGT0043,68612.67,No,No,3.98,70.68503809073786
2025-10-31,TCK01069,AGT0094,52081.27,Yes,Yes,4.69,75.49734315057461
2025-11-01,TCK03444,AGT0117,53856.03,Yes,Yes,4.51,75.36338938279106
2025-11-02,TCK01060,AGT0084,26157.42,Yes,Yes,4.87,64.6059395380589
2025-11-03,TCK02327,AGT0208,62859.23,Yes,Yes,4.55,72.46679928085084
2025-11-04,TCK03420,AGT0088,10604.38,No,Yes,4.42,74.47594406580045
2025-11-05,TCK00301,AGT0240,62491.34,Yes,No,4.56,69.01429064803834
2025-11-06,TCK00606,AGT0288,47877.35,Yes,No,4.89,75.35601930743195
2025-11-07,TCK03170,AGT0091,64849.25,No,No,4.74,72.98265281314661
2025-11-08,TCK00699,AGT0074,27978.08,Yes,No,3.91,76.40921172156546
2025-11-09,TCK05088,AGT0155,247.8,Yes,Yes,4.64,75.085083254605
2025-11-10,TCK09331,AGT0237,46057.66,No,Yes,4.65,83.47303601280808
2025-11-11,TCK00190,AGT0232,28053.61,Yes,Yes,4.58,78.74933545303429
2025-11-12,TCK00980,AGT0082,9023.87,No,Yes,4.41,73.49301873141678
2025-11-13,TCK02975,AGT0060,75039.58,No,Yes,4.92,83.05512781388357
2025-11-14,TCK06102,AGT0269,96623.67,No,No,4.93,79.6191260050077
2025-11-15,TCK01184,AGT0132,34502.54,No,Yes,3.97,78.76994062022376
2025-11-16,TCK03327,AGT0011,53183.52,Yes,No,4.36,74.89366299620234
2025-11-17,TCK03394,AGT0007,47173.57,No,No,4.54,79.55251951365462
2025-11-18,TCK08319,AGT0107,38078.57,Yes,No,4.85,73.14779376791567
2025-11-19,TCK01816,AGT0196,72339.26,Yes,No,4.59,66.26908884297183
2025-11-20,TCK05854,AGT0068,81312.28,Yes,Yes,4.39,83.24167584079288
2025-11-21,TCK06709,AGT0176,32646.41,Yes,No,4.78,86.1092812271088
2025-11-22,TCK00569,AGT0008,56305.85,Yes,No,4.53,76.07756544559865
2025-11-23,TCK05442,AGT0027,88419.94,Yes,No,4.55,74.2211453813816
2025-11-24,TCK01895,AGT0012,72994.58,Yes,Yes,4.58,71.8860582938473
2025-11-25,TCK02733,AGT0124,76845.41,Yes,Yes,4.74,77.91826440865123
2025-11-26,TCK03863,AGT0227,90581.64,Yes,Yes,4.5,73.67878629932274
2025-11-27,TCK07455,AGT0104,90241.26,Yes,No,4.78,80.21829745228773
